Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-22,223,220,161,18,254,89,440,72,82
2026-08-23,118,129,150,1,145,51,242,97,48
2026-08-24,33,51,41,75,20,19,127,6,163
2026-08-25,25,156,156,53,28,31,252,9,231
2026-08-26,171,135,116,64,180,51,285,47,278
2026-08-27,176,152,83,57,221,27,145,76,141
2026-08-28,171,167,41,37,204,25,122,61,336
2026-08-29,69,108,75,22,87,29,172,42,91
2026-08-30,121,76,171,9,90,26,354,25,45
2026-08-31,113,182,102,28,112,56,263,51,213
2026-09-01,117,87,73,52,83,29,188,39,66
2026-09-02,131,204,43,2,180,45,82,120,273
2026-09-03,32,188,151,50,29,51,505,16,92
2026-09-04,123,181,96,9,112,35,164,63,199
2026-09-05,178,85,27,2,142,19,84,61,83
2026-09-06,189,269,143,30,153,48,355,81,175
2026-09-07,43,48,71,57,37,15,184,21,58
2026-09-08,85,82,117,26,77,33,194,24,177
2026-09-09,165,140,36,70,204,53,99,121,301
2026-09-10,105,133,106,61,93,22,276,38,109
2026-09-11,47,63,125,10,30,13,434,10,224
2026-09-12,66,290,86,12,74,75,142,41,62
2026-09-13,148,152,14,4,114,59,36,57,80
2026-09-14,103,202,87,16,82,59,180,32,357
2026-09-15,49,39,65,62,40,6,168,20,238
2026-09-16,128,140,118,19,105,58,292,50,309
2026-09-17,109,88,110,60,72,15,333,39,296
2026-09-18,66,150,121,69,72,41,286,22,301
2026-09-19,91,97,34,19,60,22,74,16,126
2026-09-20,193,244,28,10,226,109,67,49,174
